id,project_id,sheet_id,condition_id,type,points,calculated_value,unit,timestamp,pdf_page,pdf_coordinates,condition_color,condition_name,perimeter_value,created_at,cutouts,net_calculated_value
0c7f5ac9-1029-49ed-bcc6-ad0c909118fe,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,4949f8d2-c93d-46d5-9389-9cd8cf2d9d98,linear,"[{""x"":0.13550964426789616,""y"":0.06545129107741635},{""x"":0.2276065878550018,""y"":0.06545129107741635},{""x"":0.2276065878550018,""y"":0.1474038382809495},{""x"":0.13612982570619317,""y"":0.1474038382809495},{""x"":0.13612982570619317,""y"":0.14718234491012913}]",17.928191489361698,LF,1759158064502,17,"[{""x"":0.13550964426789616,""y"":0.06545129107741635},{""x"":0.2276065878550018,""y"":0.06545129107741635},{""x"":0.2276065878550018,""y"":0.1474038382809495},{""x"":0.13612982570619317,""y"":0.1474038382809495},{""x"":0.13612982570619317,""y"":0.14718234491012913}]",#96ceb4,Baseboard,,2025-09-29 15:01:04.694561+00,,
21e5cef3-a2fb-4e9a-89b7-be6efdcc6ced,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,5d88f651-5651-4adb-b241-2b78ef86e76b,area,"[{""x"":0.2847222222222222,""y"":0.24371693121693122},{""x"":0.48518518518518516,""y"":0.24371693121693122},{""x"":0.48518518518518516,""y"":0.36904761904761907},{""x"":0.46296296296296297,""y"":0.36904761904761907},{""x"":0.46296296296296297,""y"":0.37433862433862436},{""x"":0.13194444444444445,""y"":0.37433862433862436},{""x"":0.13194444444444445,""y"":0.3306878306878307},{""x"":0.23564814814814813,""y"":0.3306878306878307},{""x"":0.23564814814814813,""y"":0.3062169312169312},{""x"":0.2847222222222222,""y"":0.3062169312169312},{""x"":0.2847222222222222,""y"":0.30787037037037035}]",171.25538319941575,SF,1759152677938,17,"[{""x"":0.2847222222222222,""y"":0.24371693121693122},{""x"":0.48518518518518516,""y"":0.24371693121693122},{""x"":0.48518518518518516,""y"":0.36904761904761907},{""x"":0.46296296296296297,""y"":0.36904761904761907},{""x"":0.46296296296296297,""y"":0.37433862433862436},{""x"":0.13194444444444445,""y"":0.37433862433862436},{""x"":0.13194444444444445,""y"":0.3306878306878307},{""x"":0.23564814814814813,""y"":0.3306878306878307},{""x"":0.23564814814814813,""y"":0.3062169312169312},{""x"":0.2847222222222222,""y"":0.3062169312169312},{""x"":0.2847222222222222,""y"":0.30787037037037035}]",#fd79a8,Wood Floor,,2025-09-29 13:31:18.080364+00,,
29dfea81-b30a-44ce-b138-74ecfe39c20d,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,0aeebb4d-7702-45b9-a574-82fdf3776d0e,volume,"[{""x"":0.4148148148148148,""y"":0.5753968253968254},{""x"":0.4148148148148148,""y"":0.6765873015873016},{""x"":0.5,""y"":0.6765873015873016},{""x"":0.5,""y"":0.5727513227513228},{""x"":0.49537037037037035,""y"":0.5727513227513228}]",44.09804292407518,CY,1759150599498,3,"[{""x"":0.4148148148148148,""y"":0.5753968253968254},{""x"":0.4148148148148148,""y"":0.6765873015873016},{""x"":0.5,""y"":0.6765873015873016},{""x"":0.5,""y"":0.5727513227513228},{""x"":0.49537037037037035,""y"":0.5727513227513228}]",#e17055,Volume,,2025-09-29 12:56:39.823499+00,,
3132ed75-5896-4c05-af5a-40f3c4b41fe3,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,0aeebb4d-7702-45b9-a574-82fdf3776d0e,volume,"[{""x"":0.06333333333333332,""y"":0.5133333333333332},{""x"":0.06999999999999999,""y"":0.666190476190476},{""x"":0.2273333333333333,""y"":0.6647619047619047},{""x"":0.21466666666666664,""y"":0.5147619047619046},{""x"":0.21466666666666664,""y"":0.5147619047619046}]",117.93384306153774,CY,1758812932179,3,"[{""x"":0.06333333333333332,""y"":0.5133333333333332},{""x"":0.06999999999999999,""y"":0.666190476190476},{""x"":0.2273333333333333,""y"":0.6647619047619047},{""x"":0.21466666666666664,""y"":0.5147619047619046},{""x"":0.21466666666666664,""y"":0.5147619047619046}]",#e17055,Volume,,2025-09-25 15:08:52.486982+00,"[{""id"":""cutout_1759150607000"",""points"":[{""x"":0.10185185185185185,""y"":0.6018518518518519},{""x"":0.10740740740740741,""y"":0.6494708994708994},{""x"":0.18518518518518517,""y"":0.6468253968253969},{""x"":0.1787037037037037,""y"":0.6038359788359788},{""x"":0.1787037037037037,""y"":0.6038359788359788}],""pdfCoordinates"":[{""x"":0.10185185185185185,""y"":0.6018518518518519},{""x"":0.10740740740740741,""y"":0.6494708994708994},{""x"":0.18518518518518517,""y"":0.6468253968253969},{""x"":0.1787037037037037,""y"":0.6038359788359788},{""x"":0.1787037037037037,""y"":0.6038359788359788}],""calculatedValue"":17.68557110402813}]",100.2483
55b81e1c-55e9-4992-b55b-b23392381ac2,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,4949f8d2-c93d-46d5-9389-9cd8cf2d9d98,linear,"[{""x"":0.1366383744855967,""y"":0.15213936654908877},{""x"":0.1366383744855967,""y"":0.196473479652492},{""x"":0.4634987997256516,""y"":0.196473479652492},{""x"":0.4634987997256516,""y"":0.19041342102684697},{""x"":0.48627186213991774,""y"":0.19041342102684697},{""x"":0.48627186213991774,""y"":0.06570379352015154},{""x"":0.286226137402835,""y"":0.06570379352015154},{""x"":0.286226137402835,""y"":0.12949388431641518},{""x"":0.23532164494741656,""y"":0.12949388431641518},{""x"":0.23532164494741656,""y"":0.15309621791103273},{""x"":0.1375314357567444,""y"":0.15309621791103273},{""x"":0.1375314357567444,""y"":0.1524583170030701}]",64.0455319148936,LF,1759151299648,17,"[{""x"":0.1366383744855967,""y"":0.15213936654908877},{""x"":0.1366383744855967,""y"":0.196473479652492},{""x"":0.4634987997256516,""y"":0.196473479652492},{""x"":0.4634987997256516,""y"":0.19041342102684697},{""x"":0.48627186213991774,""y"":0.19041342102684697},{""x"":0.48627186213991774,""y"":0.06570379352015154},{""x"":0.286226137402835,""y"":0.06570379352015154},{""x"":0.286226137402835,""y"":0.12949388431641518},{""x"":0.23532164494741656,""y"":0.12949388431641518},{""x"":0.23532164494741656,""y"":0.15309621791103273},{""x"":0.1375314357567444,""y"":0.15309621791103273},{""x"":0.1375314357567444,""y"":0.1524583170030701}]",#96ceb4,Baseboard,,2025-09-29 13:08:19.836703+00,,
7c163bbb-93ce-41c8-acd0-c3c4949f36f2,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,4949f8d2-c93d-46d5-9389-9cd8cf2d9d98,linear,"[{""x"":0.062037037037037036,""y"":0.71494708994709},{""x"":0.27870370370370373,""y"":0.71494708994709},{""x"":0.27870370370370373,""y"":0.8802910052910053},{""x"":0.075,""y"":0.8802910052910053},{""x"":0.075,""y"":0.7956349206349206},{""x"":0.037037037037037035,""y"":0.7956349206349206},{""x"":0.037037037037037035,""y"":0.7599206349206349},{""x"":0.0787037037037037,""y"":0.7599206349206349},{""x"":0.0787037037037037,""y"":0.7281746031746031},{""x"":0.2490740740740741,""y"":0.7281746031746031},{""x"":0.2490740740740741,""y"":0.7288359788359788}]",66.98610382978721,LF,1759151250815,3,"[{""x"":0.062037037037037036,""y"":0.71494708994709},{""x"":0.27870370370370373,""y"":0.71494708994709},{""x"":0.27870370370370373,""y"":0.8802910052910053},{""x"":0.075,""y"":0.8802910052910053},{""x"":0.075,""y"":0.7956349206349206},{""x"":0.037037037037037035,""y"":0.7956349206349206},{""x"":0.037037037037037035,""y"":0.7599206349206349},{""x"":0.0787037037037037,""y"":0.7599206349206349},{""x"":0.0787037037037037,""y"":0.7281746031746031},{""x"":0.2490740740740741,""y"":0.7281746031746031},{""x"":0.2490740740740741,""y"":0.7288359788359788}]",#96ceb4,Baseboard,,2025-09-29 13:07:30.978527+00,,
81ce4911-59d0-4810-bf02-736ffa18f222,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,0aeebb4d-7702-45b9-a574-82fdf3776d0e,volume,"[{""x"":0.562037037037037,""y"":0.3599537037037037},{""x"":0.5175925925925926,""y"":0.3642526455026455},{""x"":0.49675925925925923,""y"":0.34077380952380953},{""x"":0.39675925925925926,""y"":0.34209656084656087},{""x"":0.37546296296296294,""y"":0.44229497354497355},{""x"":0.5305555555555556,""y"":0.4426256613756614},{""x"":0.5305555555555556,""y"":0.4426256613756614}]",77.31990770720537,CY,1759152494179,1,"[{""x"":0.562037037037037,""y"":0.3599537037037037},{""x"":0.5175925925925926,""y"":0.3642526455026455},{""x"":0.49675925925925923,""y"":0.34077380952380953},{""x"":0.39675925925925926,""y"":0.34209656084656087},{""x"":0.37546296296296294,""y"":0.44229497354497355},{""x"":0.5305555555555556,""y"":0.4426256613756614},{""x"":0.5305555555555556,""y"":0.4426256613756614}]",#e17055,Volume,,2025-09-29 13:28:14.304822+00,,
9c4e8d44-c9cc-4caf-83d9-7cec85b2bd4f,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,0aeebb4d-7702-45b9-a574-82fdf3776d0e,volume,"[{""x"":0.031199999999999995,""y"":0.7742857142857141},{""x"":0.031199999999999995,""y"":0.9045714285714284},{""x"":0.18879999999999997,""y"":0.9045714285714284},{""x"":0.18879999999999997,""y"":0.7725714285714284},{""x"":0.19039999999999996,""y"":0.7725714285714284}]",103.9576571221562,CY,1758739820628,1,"[{""x"":0.031199999999999995,""y"":0.7742857142857141},{""x"":0.031199999999999995,""y"":0.9045714285714284},{""x"":0.18879999999999997,""y"":0.9045714285714284},{""x"":0.18879999999999997,""y"":0.7725714285714284},{""x"":0.19039999999999996,""y"":0.7725714285714284}]",#e17055,Volume,,2025-09-24 18:50:20.768327+00,"[{""id"":""cutout_1758739828933"",""points"":[{""x"":0.05199999999999999,""y"":0.7874285714285713},{""x"":0.05519999999999999,""y"":0.8914285714285712},{""x"":0.16559999999999997,""y"":0.8868571428571427},{""x"":0.15279999999999996,""y"":0.798285714285714},{""x"":0.15279999999999996,""y"":0.798285714285714}],""pdfCoordinates"":[{""x"":0.05199999999999999,""y"":0.7874285714285713},{""x"":0.05519999999999999,""y"":0.8914285714285712},{""x"":0.16559999999999997,""y"":0.8868571428571427},{""x"":0.15279999999999996,""y"":0.798285714285714},{""x"":0.15279999999999996,""y"":0.798285714285714}],""calculatedValue"":51.019355620497905}]",52.9383
ac153d3c-af6f-4005-9a8b-7f83e1fa0d41,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,c6801eba-90da-46cb-8b8b-9347508654dd,count,"[{""x"":0.16296296296296298,""y"":0.3551587301587302}]",1,EA,1759281327078,1,"[{""x"":0.16296296296296298,""y"":0.3551587301587302}]",#45b7d1,Light Fixture,,2025-10-01 01:15:27.18426+00,,
c0fb93c1-c2a0-4033-83e8-4dd2d9201d7a,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,0aeebb4d-7702-45b9-a574-82fdf3776d0e,volume,"[{""x"":0.06144721233689206,""y"":0.2431791221826809},{""x"":0.06144721233689206,""y"":0.3641755634638197},{""x"":0.469988137603796,""y"":0.3641755634638197},{""x"":0.469988137603796,""y"":0.25504151838671413},{""x"":0.4600237247924081,""y"":0.25504151838671413}]",236.9213867721336,CY,1758810960928,2,"[{""x"":0.06144721233689206,""y"":0.2431791221826809},{""x"":0.06144721233689206,""y"":0.3641755634638197},{""x"":0.469988137603796,""y"":0.3641755634638197},{""x"":0.469988137603796,""y"":0.25504151838671413},{""x"":0.4600237247924081,""y"":0.25504151838671413}]",#e17055,Volume,,2025-09-25 14:36:01.161032+00,"[{""id"":""cutout_1758810969674"",""points"":[{""x"":0.10296559905100831,""y"":0.2704626334519573},{""x"":0.10130486358244366,""y"":0.33926453143534996},{""x"":0.18766310794780547,""y"":0.33926453143534996},{""x"":0.18932384341637012,""y"":0.2763938315539739},{""x"":0.18932384341637012,""y"":0.2763938315539739}],""pdfCoordinates"":[{""x"":0.10296559905100831,""y"":0.2704626334519573},{""x"":0.10130486358244366,""y"":0.33926453143534996},{""x"":0.18766310794780547,""y"":0.33926453143534996},{""x"":0.18932384341637012,""y"":0.2763938315539739},{""x"":0.18932384341637012,""y"":0.2763938315539739}],""calculatedValue"":28.715484461703067}]",208.2059
daa9087e-bd23-4a16-8ed6-726133d210b3,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,c6801eba-90da-46cb-8b8b-9347508654dd,count,"[{""x"":0.214706813938424,""y"":0.5535119336800793}]",1,EA,1759158491348,17,"[{""x"":0.214706813938424,""y"":0.5535119336800793}]",#45b7d1,Light Fixture,,2025-09-29 15:08:11.420818+00,,
e8d550ca-e88e-4e48-803a-0feddc9a4a10,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,c6801eba-90da-46cb-8b8b-9347508654dd,count,"[{""x"":0.1537037037037037,""y"":0.5886243386243386}]",1,EA,1759281324588,1,"[{""x"":0.1537037037037037,""y"":0.5886243386243386}]",#45b7d1,Light Fixture,,2025-10-01 01:15:24.740914+00,,
ec9d39aa-be33-43f1-82e3-4edb2c590408,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,0aeebb4d-7702-45b9-a574-82fdf3776d0e,volume,"[{""x"":0.26239999999999997,""y"":0.8074285714285713},{""x"":0.26239999999999997,""y"":0.8845714285714283},{""x"":0.6479999999999999,""y"":0.8845714285714283},{""x"":0.6479999999999999,""y"":0.806285714285714},{""x"":0.5256,""y"":0.806285714285714},{""x"":0.5256,""y"":0.7719999999999998},{""x"":0.32959999999999995,""y"":0.7719999999999998},{""x"":0.32959999999999995,""y"":0.8051428571428569},{""x"":0.32719999999999994,""y"":0.8051428571428569}]",186.2565579126495,CY,1759151150317,1,"[{""x"":0.26239999999999997,""y"":0.8074285714285713},{""x"":0.26239999999999997,""y"":0.8845714285714283},{""x"":0.6479999999999999,""y"":0.8845714285714283},{""x"":0.6479999999999999,""y"":0.806285714285714},{""x"":0.5256,""y"":0.806285714285714},{""x"":0.5256,""y"":0.7719999999999998},{""x"":0.32959999999999995,""y"":0.7719999999999998},{""x"":0.32959999999999995,""y"":0.8051428571428569},{""x"":0.32719999999999994,""y"":0.8051428571428569}]",#e17055,Volume,,2025-09-29 13:05:50.481475+00,,